case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
thread_4_nosync,2,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.066833,0.000090,0.066646,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.002723,0.997214,0.000000,0.000000,0.000001,0.000000,506844,328647,696659,7480022978923850222,0,0,0,0,0,0,0,0,ok
process_1_pipe,2,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.133660,0.000092,0.000049,0.133384,0.000014,0.000000,0.000120,0.000000,0.000000,0.999630,0.000370,0.997939,0.000106,0.000000,7.481677,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,2,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.134128,0.000068,0.000037,0.133932,0.000000,0.000000,0.000090,0.000000,0.000000,0.999723,0.000277,0.998541,0.000001,0.000000,7.455576,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,2,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.104522,0.000076,0.000062,0.104298,0.000003,0.000000,0.000084,0.000000,0.000000,0.999411,0.000589,0.997852,0.000028,0.000000,19.134644,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,2,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.087197,0.000076,0.000059,0.086975,0.000000,0.000000,0.000086,0.000000,0.000000,0.999325,0.000675,0.997455,0.000002,0.000001,22.936678,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,2,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061566,0.000081,0.000139,0.061244,0.000004,0.000000,0.000098,0.000000,0.000000,0.997745,0.002255,0.994764,0.000058,0.000003,64.970662,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,2,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.060815,0.000076,0.000135,0.060514,0.000000,0.000000,0.000090,0.000000,0.000000,0.997779,0.002221,0.995044,0.000003,0.000001,65.773202,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x2,2,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060924,0.000086,0.000054,0.060682,0.000002,0.000000,0.000101,0.000000,0.000000,0.999121,0.000879,0.996018,0.000027,0.000001,32.827583,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_2x4,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037116,0.000068,0.000062,0.036902,0.000002,0.000000,0.000082,0.000000,0.000000,0.998324,0.001676,0.994239,0.000051,0.000002,53.885298,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_4x2,2,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.034735,0.000073,0.000141,0.034428,0.000003,0.000000,0.000090,0.000000,0.000000,0.995933,0.004067,0.991170,0.000072,0.000002,115.158865,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
