case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
hybrid_2x4,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.022313,0.000068,0.000062,0.022073,0.000002,0.000000,0.000109,0.000000,0.000000,0.997227,0.002773,0.989224,0.000075,0.000002,89.632171,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
hybrid_4x2,2,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.020545,0.000076,0.000160,0.020216,0.000002,0.000000,0.000090,0.000000,0.000000,0.992206,0.007794,0.983993,0.000122,0.000010,194.692204,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x4_shm,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.020553,0.000089,0.000063,0.020321,0.000000,0.000000,0.000080,0.000000,0.000000,0.996917,0.003083,0.988706,0.000008,0.000002,97.309395,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
pipeline_final_b1000,2,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026157,0.000076,0.025959,0.000058,0.000000,0.000003,0.000084,0.000000,0.000000,0.008389,0.992407,0.002199,0.000000,0.000096,38230.135860,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok
pipeline_interactive_b1000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028883,0.000086,0.028683,0.031398,0.000000,0.000107,0.000086,0.000000,0.000000,1.000000,0.993103,1.000000,0.000000,0.003698,34622.942138,1000000,529280,1000000,1026622357111743000,1,4005,645,2000,2000,0,0,0,ok
pipeline_interactive_b100,2,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000,10000,0.063627,0.000365,0.063139,0.208788,0.000000,0.000771,0.000099,0.000000,0.000000,1.000000,0.992339,1.000000,0.000000,0.012116,157166.395505,1000000,529280,1000000,1026622357111743000,1,40005,4374,20000,20000,0,0,0,ok
pipeline_interactive_b10000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000,10000,0.026360,0.000072,0.026176,0.026386,0.000000,0.000006,0.000097,0.000000,0.000000,1.000000,0.993025,1.000000,0.000000,0.000240,3793.584828,1000000,529280,1000000,1026622357111743000,1,405,55,200,200,0,0,0,ok
seq,3,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.092618,0.000076,0.092463,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001665,0.998333,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,3,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.093365,0.000070,0.093204,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.001696,0.998274,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,3,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.048394,0.000076,0.048220,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.003520,0.996413,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,3,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026925,0.000068,0.026765,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.005839,0.994038,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,3,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.021150,0.000076,0.020978,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.007955,0.991895,0.000000,0.000000,0.000012,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,3,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.178478,0.000092,0.178288,0.363975,0.000000,0.000000,0.000094,0.000000,0.000000,1.000000,0.998938,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,3,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.029212,0.000068,0.029039,0.000000,0.000000,0.000000,0.000102,0.000000,0.000000,0.005821,0.994069,0.000000,0.000000,0.000000,0.000000,538861,357289,761474,10485145314887854548,0,0,0,0,0,0,0,0,ok
