case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
process_1_shm,2,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.131480,0.000068,0.000043,0.131285,0.000000,0.000000,0.000084,0.000000,0.000000,0.999674,0.000326,0.998512,0.000002,0.000002,7.605712,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,2,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.083997,0.000079,0.000075,0.083753,0.000002,0.000000,0.000089,0.000000,0.000000,0.999105,0.000895,0.997088,0.000026,0.000001,23.810244,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,2,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.083805,0.000068,0.000060,0.083591,0.000000,0.000000,0.000086,0.000000,0.000000,0.999282,0.000718,0.997446,0.000002,0.000000,23.865008,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_4_pipe,2,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060871,0.000068,0.000132,0.060582,0.000002,0.000000,0.000087,0.000000,0.000000,0.997831,0.002169,0.995251,0.000038,0.000002,65.712782,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
process_4_shm,2,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.060943,0.000068,0.000107,0.060682,0.000000,0.000000,0.000086,0.000000,0.000000,0.998245,0.001755,0.995709,0.000002,0.000001,65.634923,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x2,2,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.062415,0.000073,0.000083,0.062156,0.000002,0.000000,0.000101,0.000000,0.000000,0.998672,0.001328,0.995842,0.000037,0.000001,32.043515,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x4,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036231,0.000068,0.000072,0.035989,0.000002,0.000000,0.000100,0.000000,0.000000,0.998014,0.001986,0.993310,0.000047,0.000003,55.200966,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_4x2,2,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035504,0.000085,0.000120,0.035214,0.000002,0.000000,0.000081,0.000000,0.000000,0.996607,0.003393,0.991841,0.000066,0.000003,112.664815,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x4_shm,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.036880,0.000070,0.000067,0.036657,0.000000,0.000000,0.000085,0.000000,0.000000,0.998170,0.001830,0.993951,0.000006,0.000002,54.229751,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
pipeline_final_b1000,2,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036163,0.000083,0.035947,0.000062,0.000000,0.000004,0.000094,0.000000,0.000000,0.006729,0.994019,0.001708,0.000000,0.000103,27652.668655,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
