case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
thread_4_nosync,2,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.136125,0.000076,0.135955,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.001217,0.998757,0.000000,0.000000,0.000001,0.000000,450533,287849,627070,7353508802016910516,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,2,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.111514,0.000097,0.000052,0.111273,0.000003,0.000000,0.000089,0.000000,0.000000,0.999529,0.000471,0.997837,0.000027,0.000000,8.967450,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,2,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.098963,0.000074,0.000073,0.098727,0.000000,0.000000,0.000089,0.000000,0.000000,0.999266,0.000734,0.997622,0.000000,0.000000,10.104816,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,2,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.053166,0.000068,0.000121,0.052890,0.000002,0.000000,0.000085,0.000000,0.000000,0.997724,0.002276,0.994809,0.000039,0.000002,37.617850,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,2,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.051439,0.000068,0.000097,0.051176,0.000000,0.000000,0.000098,0.000000,0.000000,0.998107,0.001893,0.994879,0.000004,0.000002,38.880816,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_4_pipe,2,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028763,0.000077,0.000137,0.028456,0.000003,0.000000,0.000089,0.000000,0.000000,0.995233,0.004767,0.989329,0.000106,0.000003,139.069167,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
process_4_shm,2,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.027800,0.000068,0.000114,0.027521,0.000000,0.000000,0.000096,0.000000,0.000000,0.995889,0.004111,0.989976,0.000004,0.000004,143.885539,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x2,2,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.027339,0.000068,0.000081,0.027104,0.000001,0.000000,0.000084,0.000000,0.000000,0.997036,0.002964,0.991409,0.000053,0.000003,73.155678,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x4,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028068,0.000077,0.000062,0.027843,0.000002,0.000000,0.000083,0.000000,0.000000,0.997791,0.002209,0.991991,0.000086,0.000003,71.256264,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_4x2,2,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.024015,0.000068,0.000132,0.023720,0.000005,0.000000,0.000090,0.000000,0.000000,0.994510,0.005490,0.987704,0.000205,0.000003,166.562856,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
