case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
process_4_pipe,2,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.189005,0.073883,0.000178,0.026794,0.000002,0.000000,0.088148,0.000000,0.000000,0.999059,0.000941,0.141764,0.000012,0.000001,21.163415,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
process_4_shm,2,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.201405,0.074366,0.000164,0.027227,0.000000,0.000000,0.099648,0.000000,0.000000,0.999183,0.000817,0.135187,0.000001,0.000000,19.860447,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x2,2,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.196615,0.075157,0.000158,0.033334,0.000003,0.000000,0.087963,0.000000,0.000000,0.999198,0.000802,0.169539,0.000013,0.000000,10.172172,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x4,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.185750,0.073762,0.000118,0.023813,0.000003,0.000000,0.088053,0.000000,0.000000,0.999364,0.000636,0.128200,0.000014,0.000000,10.767167,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_4x2,2,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.183124,0.074002,0.000206,0.020669,0.000003,0.000000,0.088244,0.000000,0.000000,0.998875,0.001125,0.112866,0.000017,0.000000,21.843113,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x4_shm,2,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.188229,0.075332,0.000110,0.022566,0.000000,0.000000,0.090221,0.000000,0.000000,0.999418,0.000582,0.119888,0.000001,0.000000,10.625360,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
pipeline_final_b1000,2,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.189251,0.073426,0.026849,0.000069,0.000000,0.000004,0.088922,0.000000,0.000000,0.858234,0.141869,0.000364,0.000000,0.000022,5283.985614,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.193151,0.075210,0.029210,0.031551,0.000000,0.000100,0.088662,0.000000,0.000000,1.000000,0.151231,0.163346,0.000000,0.000518,5177.287567,1000000,529280,1000000,1026622357111743000,1,4005,604,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,2,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000000,10000000,0.218441,0.073892,0.055760,0.178356,0.000000,0.000574,0.088725,0.000000,0.000000,1.000000,0.255262,0.816498,0.000000,0.002629,45779.012948,1000000,529280,1000000,1026622357111743000,1,40005,3607,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,2,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000000,10000000,0.190812,0.074222,0.028589,0.028441,0.000000,0.000010,0.087969,0.000000,0.000000,0.999109,0.149830,0.149055,0.000000,0.000054,524.075939,1000000,529280,1000000,1026622357111743000,1,405,91,200,200,0,0,0,ok,default,0
